Position,Artist,Song Title,Year,Lyrics
1,Sinead O'Connor,Nothing Compares 2 U,1990,"It's been seven hours and fifteen days
Since u took your love away
I go out every night and sleep all day
Since you took your love away
Since you been gone I can do whatever I want
I can see whomever I choose
I can eat my dinner in a fancy restaurant
But nothing
I said nothing can take away these blues

'Cause nothing compares
Nothing compares to you

It's been so lonely without you here
Like a bird without a song
Nothing can stop these lonely tears from falling
Tell me baby where did I go wrong
I could put my arms around every boy I see
But they'd only remind me of you
I went to the doctor and guess what he told me
Guess what he told me
He said girl you better have fun
No matter what you do
But he's a fool

'Cause nothing compares
Nothing compares to you

All the flowers that you planted, mama
In the back yard
All died when you went away
I know that living with you baby was sometimes hard
But I'm willing to give it another try

Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you"
2,Celine Dion,My Heart Will Go On,1998,"Ev'ry night in my dreams, I see you, I feel you
That is how I know you go on
Far across the distance and spaces between us
You have come to show you go on

Near, far, wherever you are
I believe that the heart does go on
Once more you open the door and you're
Here in my heart and my heart will go on and on

Love can touch us one time and last for a
Lifetime and never let go till we're gone
Love, was when I loved you, one true time
I had to, in my life we'll always go on

Near, far, wherever you are
I believe that the heart does go on
Once more you open the door and you're
Here in my heart and my heart will go on and on

You're here, there's nothing I fear, and I know
That my heart will go on. We'll stay forever this way
You are safe in my heart and my heart will go on
And on"
3,Bryan Adams,(Everything I Do) I Do it For You,1991,"Look into my eyes, you will see
What you mean to me
Search your heart, search your soul
And when you find me there you'll search no more

Don't tell me it's not worth tryin' for
You can't tell me it's not worth dyin' for
You know it's true
Everything I do, I do it for you

Look into your heart, you will find
There's nothin' there to hide
Take me as I am, take my life
I would give it all, I would sacrifice

Don't tell me it's not worth fightin' for
I can't help it, there's nothin' I want more
You know it's true
Everything I do, I do it for you
Oh yeah

There's no love, like your love
And no other, could give more love
There's nowhere, unless you're there
All the time, all the way, yeah

Look into your heart, baby

Oh, you can't tell me it's not worth tryin' for
I can't help it, there's nothin' I want more
Yeah, I would fight for you, I'd lie for you
Walk the wire for you, yeah I'd die for you

You know it's true
Everything I do, oh, I do it for you

Everything I do, darling
And we'll see it through
Oh we'll see it through
Oh yeah

Yeah!

Look into your heart
You can't tell me it ain't worth dying for
Oh yeah

I'll be there, yeah
I'll walk the wire
Oh, yeah

I'm going all the way, all they way, yeah"
4,Whitney Houston,I Will Always Love You,1992,"If I should stay, 
I would only be in your way. 
So I'll go, but I know 
I'll think of you ev'ry step of the way. 

And I will always love you. 
I will always love you. 
You, my darling you. Hmm. 

Bittersweet memories 
that is all I'm taking with me. 
So, goodbye. Please, don't cry. 
We both know I'm not what you, you need. 

And I will always love you. 
I will always love you. 

(Instrumental solo) 

I hope life treats you kind 
And I hope you have all you've dreamed of. 
And I wish to you, joy and happiness. 
But above all this, I wish you love. 

And I will always love you. 
I will always love you. 
I will always love you. 
I will always love you. 
I will always love you. 
I, I will always love you. 

You, darling, I love you. 
Ooh, I'll always, I'll always love you."
5,Elton John,Candle in the Wind '97,1997,We do not have the lyrics for Candle In The Wind '97 (Goodbye England's Rose) (In the Style of Elton John) [Karaoke Version With Teaching Vocal] yet.
6,Coolio,Gangsta's Paradise,1995,"As I walk through the valley of the shadow of death
I take a look at my life and realize there's not much left
coz I've been blastin and laughin so long, that
even my mama thinks that my mind is gone
but I ain't never crossed a man that didn't deserve it
me be treated like a punk you know that's unheard of
you better watch how you're talking, and where you're walking
or you and your homies might be lined in chalk
I really hate to trip but i gotta, loc
As I Grow I see myself in the pistol smoke, fool
I'm the kinda G the little homies wanna be like
on my knees in the night, saying prayers in the streetlight

been spending most their lives, living in the gangsta's paradise
been spending most their lives, living in the gangsta's paradise
keep spending most our lives, living in the gangsta's paradise
keep spending most our lives, living in the gangsta's paradise

They got the situation, they got me facin'
I can't live a normal life, I was raised by the stripes
so I gotta be down with the hood team
too much television watching got me chasing dreams
I'm an educated fool with money on my mind
got my 10 in my hand and a gleam in my eye
I'm a loc'd out gangsta set trippin' banger
and my homies is down so don't arouse my anger, fool
death ain't nothing but a heartbeat away
I'm living life, do or die, what can I say
I'm 23 now, but will I live to see 24
the way things are going I don't know

Tell me why are we, so blind to see
That the one's we hurt, are you and me

been spending most their lives, living in the gangsta's paradise
been spending most their lives, living in the gangsta's paradise
spending most our lives, living in the gangsta's paradise
spending most our lives, living in the gangsta's paradise

Power and the money, money and the power
minute after minute, hour after hour
everybody's running, but half of them ain't looking
what's going on in the kitchen, but I don't know what's kickin'
they say I gotta learn, but nobody's here to teach me
if they can't undersstand it, how can they reach me
I guess they can't, I guess they won't
I guess they front, that's why I know my life is out of luck, fool

been spending most their lives, living in the gangsta's paradise
been spending most their lives, living in the gangsta's paradise
spending most our lives, living in the gangsta's paradise
spending most our lives, living in the gangsta's paradise
Tell me why are we, so blind to see
That the one's we hurt, are you and me
Tell me why are we, so blind to see
That the one's we hurt, are you and me"
7,Cher,Believe,1998,"After love After love After love After love
After love After love After love After love
No matter how hard I try
You keep pushing me aside
And I can't break through
There's no talking to you
It's so sad that you're leaving
It takes time to believe it

But after all is said and done
You're gonna be the lonely one, oh
Do you believe in life after love
I can feel something inside me says
I really don't think you're strong enough, now
Do you believe in life after love

I can feel something inside me says
I really don't think you're strong enough, now
What am I supposed to do
Sit around and wait for you
Well I can't do that
And there's no turning back
I need time to move on
I need a love to feel strong

'Cause I've got time to think it through
And maybe I'm too good for you, oh
Do you believe in life after love
I can feel something inside me says
I really don't think you're strong enough, now
Do you believe in life after love

I can feel something inside me says
I really don't think you're strong enough, now
Well I know that I'll get through this
'Cause I know that I am strong
I don't need you anymore
I don't need you anymore, oh

I don't need you anymore
No I don't need you anymore
Do you believe in life after love
I can feel something inside me says
I really don't think you're strong enough, now
Do you believe in life after love
I can feel something inside me says
I really don't think you're strong enough, now
Do you believe in life after love
I can feel something inside me says
I really don't think you're strong enough, now
Do you believe in life after love
I can feel something inside me says
I really don't think you're strong enough, now"
8,P Diddy & Faith Evans,I'll Be Missing You,1997,"Yeah, this right here
Goes out to everyone
That has lost
Someone or that
Truly loved
Check it out

Seems like yesterday
We used
To rock the show
I laced the track
You locked the flow
So far from hangin' on
The block for dough
Notorius
They got to know that
Life ain't always
What it seem to be
Words can't express
What you mean to me
Even though you're gone
We still a team
Thru your family
I'll fulfill your dreams
In the future can't wait
To see if you'll open up
The gates for me
Reminisce
Sometime the night
They took my friend
Try to black it out
But it plays again
When it's real feelings
Hard to conceal
Can't imagine
All the pain I feel
Give anything to hear
Half your breath
I know you still livin'
Your life after death

Every step I take
Every move I make
Every single day
Everytime I pray
I'll be missing you
Thinking of the day
When you went away
What a life to take
What a bond to break
I'll be missing you

(We miss you, Big)

It's kinda hard
Wit you not around
Know you in heaven
Smilin' down
Watching us
While
We pray for you
Everyday
We pray for you
Till the day
We meet again
In my heart is where
I keep you friend
Memories
Give me the strength
I need to proceed
Strength
I need to believe
My thoughts, Big
I just can't define
Wish I could turn back
The hands of time
Us and the six shop
For new clothes
And kicks
You and me
Takin' flics
Makin' hits
Stages
They receive you on
Still can't believe
You're gone
Give anything to hear
Half your breath
I know you still livin'
Your life after death

Somebody tell me why

One black morning
When this life is over
I know
I'll see your face

Every night I pray
Every step I take
Every move I make
Every single day
Every night I pray
Every step I take
Every move I make
Every single day
Every night I pray
Every step I take
Every move I make
Every single day
Every night I pray
Every step I take
Every move I make
Every single day

Every night I pray
Every step I take
Every move I make
Every single day

Every night I pray
Every step I take
Every move I make
Every single day

(We miss you)"
9,Britney Spears,Baby One More Time,1999,"Oh baby, baby
How was I supposed to know
That somethin' wasn't right?

Oh baby, baby
I shouldn't have let you go
And now you're outta sight

Show me how you want it to be
Tell me baby 'cause I need to know now
Oh because

My loneliness is killin' me
I must confess I still believe
When I'm not with you I lose my mind
Give me a sign, hit me baby one more time

Oh baby, baby
The reason I breathe is you
Now, boy you got me blinded

I bet you baby
There's nothing that I would not do, no
It's not the way I planned it

Show me how you want it to be
Tell me baby 'cause I need to know now
Oh because

My loneliness is killin' me
I must confess I still believe
When I'm not with you I lose my mind
Give me a sign, hit me baby one more time

Oh baby baby, oh baby baby
Oh baby, baby
How was I supposed to know
Oh baby, baby
I shouldn't have let you go

I must confess that my lonliness is killing me now
Don't you know I still believe?
That you will be here and give me a sign
Hit me baby one more time

My loneliness is killin' me
I must confess I still believe
When I'm not with you I lose my mind
Give me a sign, hit me baby one more time

I must confess that my lonliness is killing me now
Don't you know I still believe?
That you will be here and give me a sign
Hit me baby one more time"
10,Hanson,Mmmbop,1997,"You have so many relationships in this life
Only one of two will last
You're going through all this pain and strife
Then you turn your back and they're gone so fast
And they're gone so fast
So hold on to the ones that really care
In the end they'll be the only ones there
When you get old and start losing your hair
Can you tell me who will still care
Can you tell me who will still care

Mmm bop, ba duba dop
Ba du bop, ba duba dop
Ba du bop, ba duba dop
Ba du
Mmm bop, ba duba dop
Ba du bop, ba du bop
Ba du bop, ba du bop
Ba du 

Plant a seed, plant a flower, plant a rose
You can plant any one of those
Keep planting to find out which one grows
It's a secret no one knows
It's a secret no one knows

Mmm bop, ba duba dop
Ba du bop, ba duba dop
Ba du bop, ba duba dop
Ba du
Mmm bop, ba duba dop
Ba du bop, ba du bop
Ba du bop, ba du bop
Ba du

In an mmm bop they're gone. In an mmmbop
they're not there.
In an mmmbop they're gone. In an mmmbop 
they're not there.
Until you lose your hair. But you don't care.

Mmm bop, ba duba dop
Ba du bop, ba duba dop
Ba du bop, ba duba dop
Ba du
Mmm bop, ba duba dop
Ba du bop, ba du bop
Ba du bop, ba du bop
Ba du

Can you tell me? You say you can but you don't know.
Can you tell me which flower's going to grow?
Can you tell me if it's going to be a daisy or a rose?
Can you tell me which flower's going to grow?
Can you tell me? You say you can but you don't know."
