Position,Artist,Song Title,Year,Lyrics
11,Madonna,Vogue,1990,"Madonna
I'm Breathless
Vogue
Strike a pose
Strike a pose
Vogue, vogue, vogue
Vogue, vogue, vogue

Look around everywhere you turn is heartache
It's everywhere that you go [look around]
You try everything you can to escape
The pain of life that you know [life that you know]

When all else fails and you long to be
Something better than you are today
I know a place where you can get away
It's called a dance floor, and here's what it's for, so

Chorus:

Come on, vogue
Let your body move to the music [move to the music]
Hey, hey, hey
Come on, vogue
Let your body go with the flow [go with the flow]
You know you can do it

All you need is your own imagination
So use it that's what it's for [that's what it's for]
Go inside, for your finest inspiration
Your dreams will open the door [open up the door]

It makes no difference if you're black or white
If you're a boy or a girl
If the music's pumping it will give you new life
You're a superstar, yes, that's what you are, you know it

(chorus, substituting ""groove"" for ""move"")

Beauty's where you find it
Not just where you bump and grind it
Soul is in the musical
That's where I feel so beautiful
Magical, life's a ball
So get up on the dance floor

(chorus)

Vogue, [Vogue]
Beauty's where you find it [move to the music]
Vogue, [Vogue]
Beauty's where you find it [go with the flow]

Greta Garbo, and Monroe
Deitrich and DiMaggio
Marlon Brando, Jimmy Dean
On the cover of a magazine

Grace Kelly; Harlow, Jean
Picture of a beauty queen
Gene Kelly, Fred Astaire
Ginger Rogers, dance on air

They had style, they had grace
Rita Hayworth gave good face
Lauren, Katherine, Lana too
Bette Davis, we love you

Ladies with an attitude
Fellows that were in the mood
Don't just stand there, let's get to it
Strike a pose, there's nothing to it

Vogue, vogue

Oooh, you've got to
Let your body move to the music
Oooh, you've got to just
Let your body go with the flow
Oooh, you've got to
Vogue"
12,Los Del Rio,Macarena,1996,"Los Del Rio
Miscellaneous
Macarena
(BAYSIDE BOYS MIX)

Oh, oh, oh
Ha ha ha ha ha...

I am not trying to seduce you

When I dance they call me Macarena
And the boys they say que soy buena
They all want me, they can't have me
So they all come and dance beside me
Move with me, chant with me
And if you're good I'll take you home with me

1-Dale a tu cuerpo alegria Macarena
  Que tu cuerpo es pa' darle alegria y cosa buena
  Dale a tu cuerpo alegria, Macarena
  Hey, Macarena
(rpt 1)

Now don't you worry about my boyfriend
He's a boy who's name is Vittorino
I don't want him, couldn't stand him
He was no good so I ... ha ha ha

Now come on, what was I supposed to do?
He was out of town and his two friends were sooo fine
(rpt 1, 1)

I am not trying to seduce you
Macarena, Macarena...
(rpt 1, 1)

Come and find me, my name is Macarena
I'm always at the party
Con las chicas que estan buenas
Come join me, dance with me
And all you fellows chant along with me
(rpt 1, 1, 1, 1, 1)"
13,Spice Girls,Wannabe,1996,"Yo, I'll tell you what I want, what I really really want
So tell me what you want, what you really really want
I'll tell you what I want, what I really really want
So tell me what you want, what you really really want
I wanna, I wanna, I wanna, I wanna, I wanna really
Really really wanna zigazig ha

If you want my future forget my past
If you wanna get with me better make it fast
Now don't go wasting my precious time
Get your act together we could be just fine

I'll tell you what I want, what I really really want
So tell me what you want, what you really really want
I wanna, I wanna, I wanna, I wanna, I wanna really
Really really wanna zigazig ha

If you wanna be my lover, you gotta get with my friends
Make it last forever friendship never ends
If you wanna be my lover, you have got to give
Taking is too easy, but that's the way it is

What do you think about that now you know how I feel
Say you can handle my love are you for real
I won't be hasty, I'll give you a try
If you really bug me then I'll say goodbye

I'll tell you what I want, what I really really want
So tell me what you want, what you really really want
I wanna, I wanna, I wanna, I wanna, I wanna really
Really really wanna zigazig ha

If you wanna be my lover, you gotta get with my friends
Make it last forever friendship never ends
If you wanna be my lover, you have got to give
Taking is too easy, but that's the way it is

So here's a story from a to z, you wanna get with me
You gotta listen carefully
We got em in the place who likes it in your face
We got g like mc who likes it on an
Easy v doesn't come for free, she's a real lady
And as for me you'll see
Slam your body down and wind it all around
Slam your body down and wind it all around

If you wanna be my lover, you gotta get with my friends
Make it last forever friendship never ends
If you wanna be my lover, you have got to give
Taking is too easy, but that's the way it is

If you wanna be my lover, you gotta, you gotta, you gotta
You gotta, you gotta, slam, slam, slam, slam
Slam your body down and wind it all around
Slam your body down and wind it all around
Slam your body down and wind it all around
Slam your body down zigazig ah
If you wanna be my lover"
14,UB40,Can't Help Falling in Love,1993,"Wise men say - Only fools rush in,
But I can't help falling in love with you.

Wise men say - Only fools rush in,
But I can't help falling in love with you.

Shall I stay - Would it be a sin,
But I can't help falling in love with you.

As the river flows
gently to the sea
Darling so we go
some things were meant to be

Take my hand - Take my whole life too,
But I can't help falling in love with you.

As the river flows
gently to the sea
Darling so we go
some things were meant to be

Take my hand - Take my whole life too,
But I can't help falling in love with you.

I can't help falling in love with you.
I can't help falling in love with you.
I can't help falling in love with you."
15,No Doubt,Don't Speak,1997,"You and me
We used to be together
Every day together always
I really feel
That I'm losing my best friend
I can't believe this could be the end
It looks as though you're letting go
And if it's real
Well I don't want to know
Don't speak

I know just what you're saying
So please stop explaining
Don't tell me 'cause it hurts
Don't speak
I know what you're thinking
I don't need your reasons
Don't tell me 'cause it hurts

Our memories

They can be inviting
But some are altogether mighty frightening
As we die, both you and I
With my head in my hands I sit and cry
Don't speak

I know just what you're saying
So please stop explaining

Don't tell me 'cause it hurts
(no, no, no) Don't speak
I know what you're thinking
And I don't need your reasons
Don't tell me 'cause it hurts

It's all ending
I gotta stop pretending who we are
You and me

I can see us dying ... are we?
Don't speak
I know just what you're saying
So please stop explaining
Don't tell me 'cause it hurts

(No, no) Don't speak
I know what you're thinking
And I don't need your reasons
Don't tell me 'cause it hurts

Don't tell me 'cause it hurts
I know what you're saying
So please stop explaining
Don't speak
Don't speak
Don't speak (no)
I know what you're thinking
And I don't need your reasons
I know you're good
I know you're good
I know your real good
Don't, don't
Hush, hush, darling
Don't tell 'cause hurts
Hush, hush, darling"
16,Ace of Base,The Sign,1994,"I, I gotta new life, you would hardly recognize me, I'm so glad
How could a person like me care for you?
I, why do I bother when you're not the one for me?
It's enough, enough

I saw the sign and it opened up my eyes, I saw the sign
Life is demanding without understanding
I saw the sign and it opened up my eyes, I saw the sign
No one's gonna drag you up to get into the light where you belong
But where do you belong?

I, under the clear moon for so many years
I've wondered who you are
How could a person like you bring me joy?
Under the pale moon where I see a lot of stars
It's enough, enough

I saw the sign and it opened up my eyes, I saw the sign
Life is demanding without understanding
I saw the sign and it opened up my eyes, I saw the sign
No one's gonna drag you up to get into the light where you belong
But where do you belong? Oh oh oh

I saw the sign and it opened up my mind
And I am happy now living without you, I've left you, oh oh oh

I saw the sign and it opened up my eyes, I saw the sign
No one's gonna drag you up to get into the light where you belong

I saw the sign, I saw the sign
I saw the sign
I saw the sign, I saw the sign
I saw the sign, I saw the sign
I saw the sign
And it opened up my eyes, I saw the sign"
17,Ricky Martin,Livin' La Vida Loca,1999,"She's into superstitions
Black cats and voodoo dolls
Well, I feel a premonition
That girl's gonna make me fall
She's into new sensations
New kicks in the candlelight
She's got new addictions
For every day and night
She'll make you take your clothes off
And go dancing in the rain
She'll make you live her crazy life

But she'll take away your pain
Like a bullet to your brain
Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha

She will wear you out

Livin' la vida loca
Livin' la vida loca
She's livin' la vida loca
Woke up in New York City
In a funky cheap hotel
She took my heart and she took my money
She must've slipped me a sleepin' pill

She never drinks the water
Makes you order French champagne

Once you've had a taste of her
You'll never be the same
Yeah, she'll make you go insane!
Upside inside out
She's livin' la vida loca
She'll push and pull you down

Livin' la vida loca
Her lips are devil red
And her skin's the color mocha

She will wear you out
Livin' la vida loca
Livin' la vida loca

She's livin' la vida loca
She'll make you take your clothes off
And go dancing in the rain
She'll make you live her crazy life
But she'll take away your pain
Like a bullet to your brain
Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Livin' la vida loca
She's livin' la vida loca"
18,All-4-One,I Swear,1994,"Exception occurred 
HTTP Error 404: Not Found"
19,Boyz II Men,End of the Road,1992,"Girl you know we belong together
I have no time for you to be playing
With my heart like this
You'll be mine forever baby, you just see

We belong together
And you know that I'm right
Why do you play with my heart?
Why do you play with my mind?

Said we'd be forever, said it'd never die
How could you love me and leave me
And never say good-bye?

When I can't sleep at night without holding you tight
Girl, each time I try I just break down and cry
Pain in my head oh I'd rather be dead
Spinning around and around

Although we've come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you
Come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you

Girl, I know you really love me
You just don't realize
You've never been there before
It's only your first time

Maybe I'll forgive you
Maybe you'll try
We should be happy together
Forever, you and I

Can you love me again like you loved me before?
This time I want you to love me much more
This time instead just come to my bed
And baby just don't let me, don't let me down

Although we've come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you
Come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you

Girl I'm here for you
All those times of night when you just hurt me
And just run out with that other fella
Baby I knew about it, I just didn't care
You just don't understand how much I love you do you?
I'm here for you
I'm not out to go out and cheat on you all night
Just like you did baby but that's all right
Hey, I love you anyway
And I'm still gonna be here for you 'till my dying day baby
Right now, I'm just in so much pain baby
'Coz you just won't come back to me
Will you? Just come back to me
Lonely
Lonely
Lonely
This time instead just come to my bed
And baby just don't let me go
Although we've come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you
Come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you
Although we've come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you
Come to the end of the road
Still I can't let you go
It's unnatural, you belong to me, I belong to you"
20,Bruce Springsteen,Streets of Philadelphia,1994,"Bruce Springsteen
Greatest Hits
Streets Of Philadelphia
i was bruised and battered and i couldn't tell
What i felt
I was unrecognizable to myself
I saw my reflection in a window i didn't know
My own face
Oh brother are you gonna leave me
Wastin´away
On the streets of philadelphia

I walked the avenue till my legs felt like stone
I heard the voices of friends vanished and gone
At night i could hear the blood in my veins
Black and whispering as the rain
On the streets of philadelphia

Ain't no angel gonna greet me
It's just you and i my friend
My clothes don't fit me no more
I walked a thousand miles
Just to slip the skin

The night has fallen, i'm lyin'awake
I can feel myself fading away
So receive me brother with your faithless kiss
Or will we leave each other alone like this
On the streets of philadelphia"
21,Lou Bega,Mambo No 5 (A Little Bit of ...),1999,We do not have the lyrics for Mambo No. 5 (A Little Bit Of...) yet.
22,Aerosmith,I Don't Want to Miss a Thing,1998,"I could stay awake just to hear you breathing
Watch you smile while you are sleeping
While you're far away and dreaming

I could spend my life in this sweet surrender
I could stay lost in this moment forever
Ooh, every moment spent with you is a moment I treasure

Don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

Lying close to you feeling your heart beating
And I'm wondering what you're dreaming
Wondering if it's me you're seeing

Then I kiss your eyes
And thank God we're together
And I just want to stay with you in this moment forever
Forever and ever

I don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

And I don't want to miss one smile
I don't want to miss one kiss
Well, I just want to be with you, right here with you
Just like this

I just want to hold you close
I feel your heart so close to mine
And just stay here in this moment
For all of the rest of time
Yeah-yeah-yeah-yeah-yeah!

Don't want to close my eyes
Don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

I don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

Don't want to close my eyes
I don't want to fall asleep, yeah
I don't want to miss a thing"
23,The Fugees,Killing Me Softly With His Song,1996,"The Fugees
Miscellaneous
Killing Me Softly With His Song
Killing Me Softly With His Song
The Fugees

I heard he sang a good song, I heard he had a style.
And so I came to see him and lip sing for a while.
And there he was this young boy, a stranger to my eyes.

Strumming my pain with his fingers,
(one time, one time)
singing my life with his words,
(two time, two time)
killing me softly with his song,
killing me softly with his song,
telling my whole life with his words,
killing me softly with his song

I felt all flushed with fever, embarrassed by the crowd,
I felt he found my letters and read each one out loud.
I prayed that he would finish but he just kept right on.

Strumming my pain with his fingers,
(one time, one time)
singing my life with his words,
(two time, two time)
killing me softly with his song,
killing me softly with his song,
telling my whole life with his words,
killing me softly with his song

(instramental interlude)

Strumming my pain with his fingers,
(yes he was)
singing my life with his words,
killing me softly with his song,
killing me softly with his song,
telling my whole life with his words,
killing me softly with his song

From: [email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */"
24,Brandy & Monica,The Boy is Mine,1998,"The boy is mine
The boy is mine
The boy is mine
The boy is mine
The boy is mine

Excuse me can I please talk to you for a minute?
Uh hu sure you know you look kinda familiar
Yeah you do too, but I just wanted to know
Do you know somebody named?

Oh you know his name
Oh yeah definitely I know his name
Well I just want to let you that he's mine
Huh no no he's mine

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine

Think it's time we got this straight
Sit and talk face to face
There is no way you could mistake
Him for your man are you insane?

But see I know that you may be
Just a bit jealous of me
But you're blind if you can't see
That his love is all in me

See I tried to hesitate
I didn't want to say what he told me
He said without me he couldn't make it
Through the day, ain't that a shame?

But maybe you misunderstood
'Cause I can't see how he could
Wanna change something that's so good
All my love was all it took

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine

Must you do the things you do
You keep on acting like a fool
You need to know it's me not you
And if you didn't know it's 'cause it's true

I think that you should realize
And try to understand why
He is a part of my life
I know it's killing you inside

You can say what you wanna say
What we have you can't take
From the truth you can't escape
I can tell the real from the fake

When will you get the picture
You're the past I'm the future
Get away it's my time to shine
If you didn't know the boy is mine

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine

You can't destroy this love I've found
Your silly games I won't allow
The boy is mine without a doubt
You might as well throw in the towel

What makes you think that he wants you
When I'm the one that brought him to
The special place that's in my heart
He was my love right from the start

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine

You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine"
25,Rob Thomas & Santana,Smooth,1999,"Man it's a hot one
Like seven inches from the midday sun
I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my spanish harlem Mona Lisa
You're my reason for reason
The step in my groove
And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Cause you're so smooth
()
And it's just like the ocean under the moon
Well that's the same as the emotion that I get from you
You got the kind of lovin that can be so smooth
Give me your heart, make it real
Or else forget about it
I'll tell you one thing
If you would leave it would be a crying shame
In every breath and every word I hear your name calling me out
Out from the barrio, you hear my rhythm from your radio
You feel the turning of the world so soft and slow
Turning you round and round
(Bridge)
And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Cause you're so smooth
()
And it's just like the ocean under the moon
Well that's the same as the emotion that I get from you
You got the kind of lovin that can be so smooth
Give me your heart, make it real
Or else forget about it"
