Position,Artist,Song Title,Year,Lyrics
1,Pink Floyd,Another Brick in the Wall (part 2),1980,"We don't need no education
We don'Â€Â t need no thought control
No dark sarcasm in the classroom
Teacher leave them kids alone

Hey, teacher, leave 'em kids alone
All in all it's just another brick in the wall
All in all you're just another brick in the wall

We don't need no education
We don'Â€Â t need no thought control
No dark sarcasm in the classroom
Teachers leave them kids alone

Hey, teacher, leave us kids alone
All in all you're just another brick in the wall
All in all you're just another brick in the wall

{""Wrong do it again, wrong do it again""
""If you don't eat your meat, you can't have any pudding
How can you have any pudding if you don't eat your meat?""
""You! yes, you behind the bikesheds, stand still laddie!""}"
2,Irene Cara,Flashdance... What a Feeling,1983,"First when there's nothing
But a slow glowing dream
That your fear seems to hide
Deep inside your mind

All alone, I have cried
Silent tears full of pride
In a world made of steel
Made of stone

Well, I hear the music
Close my eyes, feel the rhythm
Wrap around, take a hold of my heart

What a feeling
Being's believing
I can have it all
Now I'm dancing for my life
Take your passion
And make it happen
Pictures come alive
You can dance right through your life

Now I hear the music
Close my eyes, I am rhythm
In a flash, it takes hold of my heart

What a feeling, being's believing
I can have it all
Now I'm dancing for my life
Take your passion
And make it happen
Pictures come alive
Now I'm dancing through my life

What a feeling

What a feeling (I am music now)
Being's believing (I am rhythm now)
Pictures come alive
You can dance right through your life

What a feeling (I can really have it all)
Being's believing
(Pictures come alive when I call)
I can have it all (I can really have it all)
Have it all (pictures come alive when I call)
(Call, call, call, call, what a feeling)
I can have it all (being's believing)
Being's believing (take your passion)"
3,The Police,Every Breath You Take,1983,"Every breath you take
And every move you make
Every bond you break, every step you take
I'll be watching you

Every single day
And every word you say
Every game you play, every night you stay
I'll be watching you

Oh can't you see
You belong to me
How my poor heart aches
With every step you take

Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watching you

Since you've gone I been lost without a trace
I dream at night I can only see your face
I look around but it's you I can't replace
I feel so cold and I long for your embrace

I keep crying baby, baby, please

Oh can't you see
You belong to me
How my poor heart aches
With every step you take

Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watching you

Every move you make, every step you take
I'll be watching you

 I'll be watching you
  (Every breath you take, every move you make)
  (Every bond you break, every step you take)
I'll be watching you
  (Every single day, every word you say)
  (Every game you play, every night you stay)

I'll be watching you
  (Every move you make, every vow you break)
  (Every smile you fake, every claim you stake)
I'll be watching you
  (Every single day, every word you say)
  (Every game you play, every night you stay)

 I'll be watching you
  (Every breath you take, every move you make)
  (Every bond you break, every step you take)
 I'll be watching you
  (Every single day, every word you say)
  (Every game you play, every night you stay)

I'll be watching you
  (Every move you make, every vow you break)
  (Every smile you fake, every claim you stake)
I'll be watching you"
4,Kim Carnes,Bette Davis Eyes,1981,"Her hair is Harlowe gold
Her lips sweet surprise
Her hands are never cold
She's got Bette Davis eyes

She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you

She's precocious and she knows just
What it takes to make a pro blush
She got Greta Garbo stand off sighs
She's got Bette Davis eyes

She'll let you take her home
It whets her appetite
She'll lay you on her throne
She got Bette Davis eyes

She'll take a tumble on you
Roll you like you were dice
Until you come out blue
She's got Bette Davis eyes

She'll expose you, when she snows you
Off your feet with the crumbs she throws you
She's ferocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please ya

She's precocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

She'll tease you
She'll unease you
Just to please ya
She's got Bette Davis eyes

She'll expose you
When she snows you
She knows ya
She's got Bette Davis eyes"
5,Michael Jackson,Billie Jean,1983,"[1st Verse]
She Was More Like A Beauty Queen From A Movie Scene
I Said Don't Mind, But What Do You Mean I Am The One
Who Will Dance On The Floor In The Round
She Said I Am The One Who Will Dance On The Floor In The Round

[2nd Verse]
She Told Me Her Name Was Billie Jean, As She Caused A Scene
Then Every Head Turned With Eyes That Dreamed Of Being The One
Who Will Dance On The Floor In The Round

[Bridge]
People Always Told Me Be Careful Of What You Do
And Don't Go Around Breaking Young Girls' Hearts
And Mother Always Told Me Be Careful Of Who You Love
And Be Careful Of What You Do 'Cause The Lie Becomes The Truth

[Chorus]
Billie Jean Is Not My Lover
She's Just A Girl Who Claims That I Am The One
But The Kid Is Not My Son
She Says I Am The One, But The Kid Is Not My Son

[3rd Verse]
For Forty Days And Forty Nights
The Law was on her Side
But Who Can Stand When She's In Demand
Her Schemes And Plans
'Cause We Danced On The Floor In The Round
So Take My Strong Advice, Just Remember To Always Think Twice
Do think Twice

[4th Verse]
She Told My Baby We'd Danced 'Till Three
Then She Looked At Me
She Showed A Photo Of A Baby Crying
His Eyes Looked Like Mine
Go On Dance On The Floor In The Round, Baby

[Bridge]
People Always Told Me Be Careful Of What You Do
And Don't Go Around Breaking Young Girls' Hearts
She Came And Stood Right By Me
Then The Smell Of Sweet Perfume
This Happened Much Too Soon
She Called Me To Her Room

[Chorus]
Billie Jean Is Not My Lover
She's Just A Girl Who Claims That I Am The One
But The Kid Is Not My Son
Billie Jean Is Not My Lover
She's Just A Girl Who Claims That I Am The One
But The Kid Is Not My Son
She Says I Am The One, But The Kid Is Not My Son
She Says I Am The One, But The Kid Is Not My Son
Billie Jean Is Not My Lover
She's Just A Girl Who Claims That I Am The One
But The Kid Is Not My Son
She Says I Am The One, But The Kid Is Not My Son
She Says I Am The One, She Says He Is My Son
She Says I Am The One
Billie Jean Is Not My Lover
Billie Jean Is Not My Lover
Billie Jean Is Not My Lover
Billie Jean Is Not My Lover
Billie Jean Is Not My Lover
Billie Jean Is Not My Lover"
6,USA For Africa,We Are the World,1985,"Usa For Africa
Miscellaneous
We Are The World
Written by Michael Jackson and Lionel Richie

There comes a time when we heed a certain call
When the world must come together as one
There are people dying
And it's time to lend a hand to life,
The greatest gift of all

We can go on pretending day by day
That someone, somewhere will soon make a change
We are all a part of God's great big family
And the truth you know love is all wee need

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me


Send them your heart so they'll know that someone cares
And their lives will be stronger and free
As God has shown us by turning stones to bread
So we all must lend a helping hand

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

When you're down and out
There seems no hope at all
But if you just believe there's no way we can fall
Let us realize that a change can only come
When we stand together as one

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

(Repeat to fade)"
7,Survivor,Eye of the Tiger,1982,"Rising up, back on the street
Did my time, took my chances
Went the distance, now I'm back on my feet
Just a man and his will to survive
So many times it happens too fast
You change your passion for glory
Don't lose your grip on the dreams of the past
You must fight just to keep them alive

It's the eye of the tiger
It's the thrill of the fight
Rising up to the challenge of our rival
And the last known survivor
Stalks his prey in the night
And he's watching us all with the eye of the tiger

Face to face, out in the heat
Hanging tough, staying hungry
They stack the odds 'til we take to the street
For the kill with the skill to survive

It's the eye of the tiger
It's the thrill of the fight
Rising up to the challenge of our rival
And the last known survivor
Stalks his prey in the night
And he's watching us all with the eye of the tiger

Rising up straight to the top
Had the guts, got the glory
Went the distance, now I'm not going to stop
Just a man and his will to survive

It's the eye of the tiger
It's the thrill of the fight
Rising up to the challenge of our rival
And the last known survivor
Stalks his prey in the night
And he's watching us all with the eye of the tiger
The eye of the tiger
The eye of the tiger
The eye of the tiger
The eye of the tiger"
8,Stevie Wonder,I Just Called to Say I Love You,1984,"No new years's day to celebrate
No chocolate covered candy hearts to give away
No first of spring, no song to sing
In fact here's just another ordinary day

No April rain, no flowers bloom
No wedding Saturday within the month of June
But what it is, is something true
Made up of these three words that I must say to you

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

No summer's high, no warm July
No harvest moon to light one tender August night
No autumn breeze, no falling leaves
Not even time for birds to fly to southern skies

No Libra sun, no halloween
No giving thanks to all the Christmas joy you bring
But what it is, though old so new
To fill your heart like no three words could ever do

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

Of my heart
Of my heart"
9,George Michael,Careless Whisper,1984,"I feel so unsure
As I take your hand and lead you to the dance floor
As the music dies something in your eyes
Calls to mind a silver screen and all its sad goodbyes

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool

I should have known better than to cheat a friend
And waste a chance that I'd been given
So I'm never gonna dance again
The way I danced with you

Time can never mend
The careless whispers of a good friend
To the heart and mind ignorance is kind
There's no comfort in the truth, pain is that all you'll find

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool

I should have known better than to cheat a friend
And waste a chance that I'd been given
So I'm never gonna dance again
The way I danced with you

With or without your love

Tonight the music seems so loud
I wish that we could lose this crowd
Maybe it's better this way
We'd hurt each other with the things we want to say

We could have been so good together
We could have lived this dance forever
But now, who's gonna dance with me?
Please stay

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool

I should have known better than to cheat a friend
And waste a chance that I'd been given
So I'm never gonna dance again
The way I danced with you

(Now that you're gone)
Now that you're gone
  (Now that you're gone)
Was what I did so wrong?
So wrong that you had to leave me alone?"
10,Barbra Streisand,A Woman in Love,1980,"Barbra Streisand
Miscellaneous
A Woman In Love
Life is a moment in space 
When the dream is gone 
It’s a lonelier place 
I kiss the morning goodbye 
But down inside you know 
We never know why 
The road is narrow and long 
When eyes meet eyes 
And the feeling is strong 
I turn away from the wall 
I stumble and fall 
But I give you it all... 

Chorus: 
I am a woman in love 
And I do anything 
To get you into my world 
And hold you within 
It’s a right I defend 
Over and over again 
What do I do? 
With you eternally mine 
In love there is 
No measure of time 
We planned it all at the start 
That you and I 
Would live in each other's hearts 
We may be oceans away 
You feel my love 
I hear what you say 
No truth is ever a lie 
I stumble and fall 
But I give you it all 

Repeat Chorus 
I am a woman in love 
And I'm talking to you 
Do you know how it feels? 
What a woman can do 
It’s a right 
That I defend over and over again......"
