words	tf-idf
du	10.760141058
licky	10.6306113154
murderer	10.6306113154
pressurin	10.4957932048
sade	10.0547944181
dio	9.72426027983
vida	9.72426027983
vogue	9.15671018307
joyride	8.71571139634
barbie	8.50180062868
bop	8.50180062868
scrub	8.50180062868
dop	8.47096351224
informer	8.47096351224
miggida	8.47096351224
duba	8.47096351224
joe	8.29293415267
kross	8.20661565907
kris	8.20661565907
unbreak	7.60448320347
nah	7.56841440909
loca	7.54224564608
dee	7.39309431399
hosanna	7.25652113507
unnatural	7.25652113507
macarena	7.25652113507
deserts	7.2348981274
shoe	7.18075616367
ba	7.14424757437
mmm	7.04160116687
genie	6.88645624899
vanilla	6.88645624899
janet	6.8675326373
stabbed	6.69307609683
join	6.60251245995
saves	6.42653385058
hotstepper	6.42653385058
moth	6.42653385058
blaze	6.42653385058
di	6.32842477606
lyrical	6.00845283826
gloom	5.9174381133
daydreams	5.9174381133
undress	5.9174381133
creation	5.9174381133
lakes	5.9174381133
raider	5.9174381133
gangsta	5.81641058353
knocked	5.81641058353
belongs	5.73352111423
conscience	5.73352111423
rub	5.73352111423
denial	5.73352111423
love	5.66988092298
torn	5.65307862832
mr	5.42926047264
na	5.42495001748
defenders	5.3153056577
zigazig	5.3153056577
lifted	5.3153056577
monica	5.3153056577
greens	5.3153056577
mocha	5.3153056577
pissing	5.3153056577
duh	5.3153056577
source	5.3153056577
undo	5.3153056577
injustice	5.3153056577
rpt	5.3153056577
baby	5.3082676974
compares	5.28489596887
shout	5.19422185194
snow	5.18815586022
ca	5.11198778836
entertain	5.07773171714
hammer	5.07483492461
rhyme	5.05720110163
passion	5.05720110163
belong	5.0343799576
yeah	4.93447393313
spending	4.91518868143
da	4.8562369509
passenger	4.84262321345
wont	4.84262321345
mac	4.8014851606
fantasy	4.79704718541
make	4.77912349311
grey	4.76180358256
forgive	4.69440077791
amen	4.67548508897
slam	4.59506448727
drew	4.58303260605
corvette	4.57835509154
revolves	4.57835509154
danny	4.57835509154
albino	4.57835509154
mosquito	4.57835509154
joyrider	4.57835509154
wiggida	4.57835509154
cope	4.57835509154
uncry	4.57835509154
