words	tf-idf
rumour	13.6830549856
gangnam	9.35692815535
skips	8.9607764022
swirv	8.94356622524
crumbles	8.47096351224
oppan	8.47096351224
climax	8.20661565907
gnashing	8.20661565907
oppa	8.20661565907
weeping	8.20661565907
mourning	7.9192531825
euphoria	7.60448320347
uoooh	7.60448320347
wir	7.60448320347
yeoja	7.25652113507
keurae	7.25652113507
adorn	7.25652113507
wie	7.25652113507
lambo	7.25652113507
whistle	7.25160752313
vary	6.8675326373
diesen	6.8675326373
kein	6.8675326373
shh	6.8675326373
ende	6.8675326373
champion	6.60251245995
alarm	6.48420962082
starships	6.42653385058
nom	6.42653385058
sicht	6.42653385058
tagen	6.42653385058
overwhelmed	6.42653385058
naneun	6.42653385058
fighter	6.1107101414
international	6.00851850583
bullshit	6.00851850583
dive	5.96846899598
drank	5.9201019195
uns	5.9174381133
sticks	5.9174381133
skyfall	5.9174381133
ewig	5.9174381133
ist	5.9174381133
cheerio	5.9174381133
payphone	5.9174381133
sets	5.9174381133
angeles	5.9174381133
pool	5.81641058353
hotter	5.74069399099
neo	5.73352111423
hearted	5.73352111423
na	5.66988092298
baby	5.63478960317
yeah	5.51342874616
proceed	5.42617359555
taller	5.42617359555
love	5.4161004022
magnetic	5.3153056577
sarangseureowo	5.3153056577
bliss	5.3153056577
dave	5.3153056577
commit	5.3153056577
mat	5.3153056577
unendlichkeit	5.3153056577
ohhhhh	5.3153056577
desperately	5.3153056577
vertigo	5.3153056577
baro	5.3153056577
referee	5.3153056577
areumdawo	5.3153056577
keureon	5.3153056577
highlight	5.3153056577
whoah	5.3153056577
eh	5.31308607173
tall	5.18941150182
der	5.07773171714
das	5.07773171714
hall	5.07483492461
liquor	5.05720110163
shit	4.97943478891
impossible	4.91518868143
ohhhh	4.84262321345
reached	4.84262321345
turn	4.78749174278
gon	4.72738781871
diamonds	4.69440077791
counts	4.67548508897
hitting	4.67548508897
back	4.66343909411
night	4.65396035016
wan	4.62497281328
life	4.59511985013
time	4.59511985013
jerk	4.58303260605
weed	4.58303260605
thirsty	4.58303260605
swimming	4.58303260605
lamborghini	4.58303260605
party	4.5796575376
haben	4.57835509154
hefty	4.57835509154
soaking	4.57835509154
footsteps	4.57835509154
rihanna	4.57835509154
bush	4.57835509154
betting	4.57835509154
erleben	4.57835509154
eighteen	4.57835509154
swell	4.57835509154
ich	4.57835509154
babysitting	4.57835509154
beste	4.57835509154
upper	4.57835509154
kendrick	4.57835509154
dich	4.57835509154
homeless	4.57835509154
tengo	4.57835509154
sue	4.57835509154
baywatch	4.57835509154
durch	4.57835509154
brightest	4.57835509154
grams	4.57835509154
blazes	4.57835509154
daughters	4.57835509154
ache	4.57835509154
zeit	4.57835509154
nacht	4.57835509154
crawling	4.57835509154
kong	4.57835509154
pastries	4.57835509154
detain	4.57835509154
sich	4.57835509154
girl	4.5747109785
make	4.51085950652
da	4.44929005362
awake	4.44853385734
follow	4.42017793807
diamond	4.36696817925
tonight	4.33073334029
give	4.3040650932
separate	4.28873304818
domino	4.28873304818
hey	4.27666611902
burn	4.23909252007
ooh	4.2341065046
ca	4.2341065046
motherfucker	4.2105210934
miami	4.2105210934
tryna	4.20731268804
tales	4.19972830641
goodbyes	4.19972830641
ignorance	4.19972830641
skip	4.19972830641
butterfly	4.19972830641
lighter	4.19972830641
bombs	4.19972830641
zu	4.19972830641
loveable	4.19972830641
run	4.18965474203
good	4.14313472639
blow	4.11868617982
heart	4.09434456222
pound	4.05998962042
world	4.02535169074
feel	4.02535169074
groovy	3.9848145538
chick	3.9848145538
home	3.95124371858
stopping	3.94898914207
madonna	3.94898914207
whats	3.94898914207
globe	3.94898914207
bieber	3.94898914207
throat	3.94898914207
justin	3.94898914207
sexy	3.93714720767
put	3.93182563272
day	3.93182563272
wide	3.92129494261
building	3.8986154582
fantasy	3.8986154582
tearing	3.8986154582
tied	3.8986154582
fall	3.89182029811
young	3.89182029811
sky	3.89182029811
flame	3.87519121292
teeth	3.87519121292
bass	3.87519121292
beat	3.86490140114
lights	3.85014760171
wake	3.78418963392
long	3.78418963392
cup	3.76150164931
fly	3.75954929165
die	3.73766961828
shore	3.72892958369
9	3.72892958369
universe	3.72892958369
ohhh	3.72892958369
woah	3.72022459817
nigga	3.72022459817
uh	3.68328729564
thing	3.66356164613
live	3.66356164613
stand	3.66356164613
auf	3.62826056754
affect	3.62826056754
believers	3.62826056754
dieser	3.62826056754
shimjangi	3.62826056754
guzzle	3.62826056754
chopper	3.62826056754
frankly	3.62826056754
ttasaroun	3.62826056754
divinity	3.62826056754
verspricht	3.62826056754
waterfall	3.62826056754
yep	3.62826056754
quicksand	3.62826056754
omyeon	3.62826056754
purple	3.62826056754
wiie	3.62826056754
selben	3.62826056754
uphill	3.62826056754
suicides	3.62826056754
caw	3.62826056754
stroke	3.62826056754
rays	3.62826056754
sparkin	3.62826056754
nol	3.62826056754
slept	3.62826056754
loneliest	3.62826056754
sells	3.62826056754
noneun	3.62826056754
ttwiineun	3.62826056754
cheeri	3.62826056754
mwol	3.62826056754
politicians	3.62826056754
mudslide	3.62826056754
hooptie	3.62826056754
mixer	3.62826056754
students	3.62826056754
als	3.62826056754
burgundy	3.62826056754
stoop	3.62826056754
nevermore	3.62826056754
komm	3.62826056754
suntan	3.62826056754
boijiman	3.62826056754
tedder	3.62826056754
convinced	3.62826056754
kal	3.62826056754
eaten	3.62826056754
gloves	3.62826056754
dekkaji	3.62826056754
cement	3.62826056754
arrived	3.62826056754
twinkle	3.62826056754
raging	3.62826056754
