words	tf-idf
amadeus	13.7862691699
funkytown	11.1207810118
eileen	10.6306113154
shack	9.93324942065
bamba	9.89366074924
er	9.54569868084
bam	9.15671018307
bites	8.9607764022
wham	8.47096351224
toora	8.47096351224
dutchie	8.20661565907
doves	8.20661565907
thriller	7.94449227425
ghostbusters	7.9192531825
arriba	7.9192531825
batman	7.81717737011
jukebox	7.60448320347
loo	7.60448320347
pon	7.54224564608
yahoo	7.25652113507
fina	7.25652113507
balloons	7.25652113507
esa	7.25652113507
turnaround	7.06648886353
sledgehammer	6.8675326373
instinctively	6.8675326373
prayer	6.86706412926
celebrate	6.75753199057
um	6.69307609683
karma	6.58051785333
drives	6.48420962082
poca	6.42653385058
thee	6.42653385058
respectfully	6.42653385058
tainted	6.42653385058
dia	6.42653385058
egyptian	6.42653385058
loora	6.42653385058
plunder	6.42653385058
gracia	6.42653385058
babaluma	6.42653385058
flair	6.42653385058
papa	6.1107101414
nothings	6.00845283826
rye	6.00845283826
bette	6.00845283826
davis	6.00845283826
movin	5.9233360052
susie	5.9174381133
rival	5.9174381133
chorando	5.9174381133
dep	5.9174381133
chameleon	5.9174381133
prance	5.9174381133
west	5.64191267145
love	5.52146091786
na	5.49716822529
billie	5.47666667742
defeated	5.42617359555
amor	5.42617359555
showin	5.42617359555
ebony	5.3153056577
claims	5.3153056577
heap	5.3153056577
aonde	5.3153056577
tease	5.3153056577
ao	5.3153056577
odds	5.3153056577
zing	5.3153056577
rizla	5.3153056577
vale	5.3153056577
biddly	5.3153056577
rattle	5.3153056577
recordacao	5.3153056577
jitterbug	5.3153056577
lembrar	5.3153056577
eagles	5.3153056577
planning	5.3153056577
groovin	5.3153056577
99	5.28489596887
celebration	5.18941150182
preach	5.18941150182
total	5.07773171714
eclipse	5.07773171714
eternal	5.07773171714
bailar	5.07773171714
ein	5.07773171714
monkey	5.07773171714
tiger	5.07483492461
cum	5.07483492461
yeah	4.94875989038
gon	4.93447393313
christmas	4.91518868143
sway	4.84262321345
virgin	4.84262321345
baby	4.80402104473
make	4.7957905456
jean	4.76180358256
para	4.76180358256
dust	4.70187706164
ivory	4.67548508897
feel	4.66343909411
relax	4.59974251104
beat	4.59706514958
funky	4.59506448727
laughter	4.58303260605
install	4.57835509154
soube	4.57835509154
foi	4.57835509154
shimmies	4.57835509154
deliveries	4.57835509154
shouted	4.57835509154
ovens	4.57835509154
unease	4.57835509154
refrigerators	4.57835509154
estara	4.57835509154
hatte	4.57835509154
frauen	4.57835509154
rief	4.57835509154
bg	4.57835509154
custom	4.57835509154
necesita	4.57835509154
nao	4.57835509154
capitan	4.57835509154
survivor	4.57835509154
cuidar	4.57835509154
faggot	4.57835509154
time	4.5747109785
red	4.5538768916
rock	4.54399765431
wan	4.51085950652
bang	4.47137929542
workin	4.41242247306
food	4.41242247306
call	4.39444915467
night	4.35670882669
wine	4.34870105409
give	4.34380542185
heart	4.3040650932
und	4.28873304818
midnight	4.28873304818
fiesta	4.28873304818
disagree	4.28873304818
rule	4.28873304818
upside	4.2804913178
dance	4.24849524205
life	4.21950770518
ca	4.21950770518
anytime	4.2105210934
round	4.20773441263
turnin	4.20731268804
lord	4.20025930446
forty	4.19972830641
alles	4.19972830641
estar	4.19972830641
foolish	4.19972830641
karamu	4.19972830641
tumble	4.19972830641
vai	4.19972830641
world	4.14313472639
heat	4.05998962042
eyes	4.02535169074
woo	3.98715543617
faith	3.98511977004
por	3.9848145538
hand	3.97029191355
day	3.95124371858
soy	3.94898914207
endless	3.94898914207
tonight	3.89182029811
es	3.87519121292
paradise	3.87519121292
cry	3.87120101091
ah	3.83088762465
wo	3.82864139649
remember	3.82864139649
crazy	3.79579386711
called	3.79579386711
good	3.78418963392
jump	3.78418963392
war	3.78078864366
girl	3.73766961828
travel	3.72892958369
groovy	3.72892958369
desert	3.72892958369
end	3.7135720667
forever	3.66356164613
hear	3.63758615973
ta	3.63758615973
luther	3.62826056754
expose	3.62826056754
cheatin	3.62826056754
sarcasm	3.62826056754
precocious	3.62826056754
modern	3.62826056754
alibi	3.62826056754
exaltiert	3.62826056754
wien	3.62826056754
rowing	3.62826056754
ghoul	3.62826056754
fruitcage	3.62826056754
debt	3.62826056754
pra	3.62826056754
conviction	3.62826056754
ele	3.62826056754
survival	3.62826056754
microwave	3.62826056754
ganja	3.62826056754
juvenile	3.62826056754
reconsider	3.62826056754
terror	3.62826056754
exalted	3.62826056754
thawed	3.62826056754
cuddle	3.62826056754
chorar	3.62826056754
cocktail	3.62826056754
classroom	3.62826056754
virtuose	3.62826056754
virtuoso	3.62826056754
sledge	3.62826056754
cumin	3.62826056754
anyplace	3.62826056754
aaaaaaa	3.62826056754
shying	3.62826056754
chrysler	3.62826056754
testimony	3.62826056754
liming	3.62826056754
tasty	3.62826056754
hound	3.62826056754
design	3.62826056754
creatures	3.62826056754
whan	3.62826056754
appelle	3.62826056754
punker	3.62826056754
blister	3.62826056754
diller	3.62826056754
getaway	3.62826056754
schulden	3.62826056754
bustin	3.62826056754
quem	3.62826056754
vandross	3.62826056754
huggin	3.62826056754
1780	3.62826056754
batdance	3.62826056754
liebten	3.62826056754
winds	3.62826056754
gina	3.62826056754
healing	3.62826056754
contradiction	3.62826056754
marinero	3.62826056754
fez	3.62826056754
donut	3.62826056754
achin	3.62826056754
pudding	3.62826056754
waitress	3.62826056754
ihn	3.62826056754
raindrop	3.62826056754
powder	3.62826056754
keg	3.62826056754
quitter	3.62826056754
laser	3.62826056754
whale	3.62826056754
seats	3.62826056754
headin	3.62826056754
wey	3.62826056754
avoid	3.62826056754
tomb	3.62826056754
cinderella	3.62826056754
education	3.62826056754
balan	3.62826056754
jamming	3.62826056754
sempre	3.62826056754
rockidol	3.62826056754
flame	3.62280162125
de	3.62280162125
east	3.62280162125
power	3.62280162125
belong	3.62280162125
stevie	3.6174490637
returning	3.6174490637
demanding	3.6174490637
keyboard	3.6174490637
tearin	3.6174490637
x2	3.6174490637
stalks	3.6174490637
vienna	3.6174490637
notion	3.6174490637
abuse	3.6174490637
tommy	3.6174490637
piano	3.6174490637
doorway	3.6174490637
vicky	3.6174490637
loser	3.6174490637
side	3.61091791264
girls	3.61091791264
long	3.61091791264
ooh	3.58351893846
feeding	3.54715738926
harmony	3.54715738926
burns	3.54715738926
stake	3.54715738926
prey	3.54715738926
sworn	3.54715738926
miracle	3.54715738926
funk	3.54715738926
naturally	3.54715738926
ai	3.52636052462
survive	3.52080058343
inside	3.49650756147
turn	3.49650756147
stop	3.49650756147
fame	3.47980252574
hearts	3.46585150336
thing	3.4657359028
mind	3.43398720449
man	3.43398720449
times	3.43398720449
machine	3.43353206463
saving	3.43353206463
passion	3.43353206463
watching	3.41671628016
roll	3.40119738166
breath	3.39127401605
desire	3.37121058979
loves	3.37121058979
back	3.36729582999
left	3.33220451018
choice	3.31962319261
pass	3.31233414011
takes	3.31136417067
live	3.295836866
worry	3.295836866
run	3.295836866
la	3.295836866
hop	3.2947122825
colors	3.2947122825
una	3.2947122825
pack	3.2947122825
winner	3.2947122825
hold	3.25809653802
music	3.21887582487
easy	3.21887582487
happy	3.21887582487
hey	3.21887582487
close	3.21887582487
move	3.21887582487
leave	3.17805383035
wake	3.17805383035
thunder	3.14167356429
play	3.13549421593
fun	3.13549421593
made	3.13549421593
men	3.12385950195
shout	3.12385950195
ay	3.12385950195
ghost	3.12385950195
head	3.09104245336
show	3.09104245336
dream	3.09104245336
find	3.09104245336
lover	3.09104245336
words	3.09104245336
strike	3.08415095512
bold	3.08415095512
guilty	3.08415095512
killer	3.08415095512
note	3.08415095512
cheat	3.08415095512
superstar	3.08415095512
4	3.08415095512
highway	3.08415095512
dum	3.08415095512
brick	3.08415095512
vow	3.08415095512
cheek	3.08415095512
owe	3.08415095512
muse	3.0553550707
join	3.0553550707
bond	3.0553550707
bust	3.0553550707
hammer	3.0553550707
bullets	3.0553550707
blush	3.0553550707
rip	3.0553550707
lend	3.0553550707
smiled	3.0553550707
challenge	3.0553550707
boy	3.04452243772
waiting	3.04452243772
miscellaneous	3.03371249357
motion	3.03371249357
color	3.03371249357
rising	3.03371249357
smiling	3.03371249357
slide	3.03371249357
se	3.03371249357
brighter	3.03371249357
wrong	2.99573227355
talk	2.99573227355
start	2.99573227355
moment	2.99573227355
sing	2.99337176672
party	2.99337176672
lift	2.98091953028
kid	2.98091953028
blue	2.94443897917
hurt	2.94443897917
