words	tf-idf
timber	8.71571139634
troublemaker	8.71571139634
radioactive	8.20661565907
unconditionally	7.9192531825
applause	7.68333070309
ga	7.60448320347
skyscraper	7.25652113507
kimi	7.25652113507
kare	7.25652113507
suki	7.25652113507
bonfire	6.88645624899
sundays	6.8675326373
optimist	6.42653385058
neol	6.42653385058
royals	6.42653385058
wae	6.42653385058
eh	6.31578164009
ordinary	6.00845283826
bent	6.00845283826
wrecking	5.9174381133
court	5.9174381133
kimochi	5.9174381133
naega	5.9174381133
na	5.84064165737
lessons	5.73352111423
roar	5.73352111423
dollars	5.65307862832
ni	5.65307862832
windows	5.65307862832
love	5.57594910315
summertime	5.45003052745
sadness	5.42926047264
catching	5.42617359555
burn	5.34446196355
dansu	5.3153056577
covering	5.3153056577
wa	5.3153056577
karei	5.3153056577
han	5.3153056577
honto	5.3153056577
defenses	5.3153056577
insanity	5.3153056577
thrift	5.3153056577
finding	5.3153056577
jazzy	5.3153056577
teroristas	5.3153056577
cham	5.3153056577
nan	5.3153056577
macklemore	5.3153056577
treasure	5.31308607173
rule	5.28489596887
clarity	5.07773171714
patient	5.07773171714
remedy	5.07773171714
wreck	5.07483492461
ceiling	5.05720110163
la	4.97673374242
age	4.91518868143
daylight	4.84262321345
yeah	4.78749174278
gon	4.70953020131
lucky	4.70187706164
counting	4.69440077791
woah	4.69440077791
beneath	4.69440077791
sake	4.67548508897
tennis	4.67548508897
night	4.62497281328
ca	4.62497281328
jumping	4.59506448727
make	4.58496747867
ruler	4.58303260605
wanz	4.57835509154
motnan	4.57835509154
blasted	4.57835509154
screw	4.57835509154
kit	4.57835509154
motanda	4.57835509154
miley	4.57835509154
madil	4.57835509154
nareul	4.57835509154
reflections	4.57835509154
culture	4.57835509154
baboga	4.57835509154
luxe	4.57835509154
boku	4.57835509154
gajima	4.57835509154
bwasseulkka	4.57835509154
baboman	4.57835509154
vacancy	4.57835509154
pimping	4.57835509154
digging	4.57835509154
feel	4.5538768916
hey	4.49980967033
demons	4.46831247697
marry	4.41242247306
cruise	4.41242247306
ohhh	4.41242247306
wan	4.40671924726
life	4.38202663467
attack	4.36684771404
champion	4.28873304818
nah	4.28873304818
ya	4.27666611902
heart	4.24849524205
sink	4.2105210934
tragedy	4.19972830641
endlessly	4.19972830641
gay	4.19972830641
farm	4.19972830641
hold	4.14313472639
baby	4.14313472639
belong	4.09139163427
safe	4.07576445828
time	4.02535169074
back	4.02535169074
trouble	3.99136608592
praying	3.9848145538
body	3.96108034168
crashed	3.94898914207
waking	3.94898914207
wo	3.93182563272
girl	3.91202300543
tonight	3.91202300543
staring	3.87519121292
ho	3.84374955471
stop	3.80666248977
breath	3.78078864366
warm	3.76150164931
good	3.76120011569
light	3.76120011569
bigger	3.75426063917
fire	3.73766961828
monster	3.72892958369
bones	3.72892958369
ey	3.72022459817
put	3.66356164613
relentlessly	3.62826056754
barae	3.62826056754
ttaerigo	3.62826056754
iyureul	3.62826056754
dayo	3.62826056754
domesticate	3.62826056754
gowns	3.62826056754
dodaeche	3.62826056754
maybach	3.62826056754
malhaejwo	3.62826056754
aewonhaejugil	3.62826056754
mallago	3.62826056754
tteonajima	3.62826056754
tigers	3.62826056754
eobseo	3.62826056754
neoman	3.62826056754
rediscover	3.62826056754
sizzlin	3.62826056754
tsutaeru	3.62826056754
3012	3.62826056754
breed	3.62826056754
trashin	3.62826056754
recover	3.62826056754
kotae	3.62826056754
broadway	3.62826056754
wires	3.62826056754
snare	3.62826056754
fringe	3.62826056754
selfish	3.62826056754
ijenajeojena	3.62826056754
lining	3.62826056754
malhaejwotdamyeon	3.62826056754
90s	3.62826056754
swung	3.62826056754
reflect	3.62826056754
apocalypse	3.62826056754
tashikameru	3.62826056754
goodwill	3.62826056754
wooooooo	3.62826056754
makgo	3.62826056754
japgo	3.62826056754
beorigi	3.62826056754
acceptance	3.62826056754
tiring	3.62826056754
tteona	3.62826056754
sunao	3.62826056754
ulgo	3.62826056754
nal	3.62826056754
brushing	3.62826056754
cadillacs	3.62826056754
kitto	3.62826056754
mameul	3.62826056754
koons	3.62826056754
malhae	3.62826056754
cristal	3.62826056754
kikasete	3.62826056754
gidarilge	3.62826056754
70s	3.62826056754
precisely	3.62826056754
shaping	3.62826056754
genius	3.62826056754
middlename	3.62826056754
selena	3.62826056754
atsui	3.62826056754
ink	3.62826056754
begin	3.62280162125
butterflies	3.6174490637
unconditional	3.6174490637
pushed	3.6174490637
form	3.6174490637
bada	3.6174490637
blurred	3.6174490637
jeone	3.6174490637
finer	3.6174490637
explaining	3.6174490637
grandpa	3.6174490637
tumbling	3.6174490637
checking	3.6174490637
party	3.60137126933
story	3.55801824161
touch	3.55534806149
fourth	3.54715738926
mark	3.54715738926
ashes	3.54715738926
cups	3.54715738926
lip	3.54715738926
wiser	3.54715738926
partner	3.54715738926
reflection	3.54715738926
volume	3.54715738926
sound	3.52636052462
rising	3.52080058343
hella	3.52080058343
lines	3.52080058343
hard	3.49650756147
hands	3.49650756147
danced	3.47980252574
shit	3.4788045594
bought	3.4788045594
talk	3.4657359028
eyes	3.4657359028
world	3.4657359028
give	3.43398720449
things	3.43398720449
show	3.43398720449
strike	3.43353206463
sat	3.43353206463
changing	3.43353206463
uhh	3.43353206463
cheek	3.43353206463
yellin	3.43353206463
match	3.43353206463
close	3.40119738166
jump	3.40119738166
hate	3.39127401605
starts	3.39127401605
spark	3.37121058979
stars	3.36529489169
care	3.33220451018
song	3.33220451018
miss	3.33220451018
meet	3.33220451018
learned	3.31962319261
admit	3.31962319261
booty	3.2947122825
flew	3.2947122825
live	3.25809653802
dark	3.25809653802
moment	3.25809653802
road	3.25466658833
fucking	3.25316443479
mirror	3.22794595427
walked	3.22794595427
house	3.21887582487
whoa	3.21887582487
home	3.21887582487
wanted	3.17805383035
run	3.17805383035
day	3.17805383035
golden	3.14167356429
ai	3.13549421593
fall	3.13549421593
catch	3.09104245336
find	3.09104245336
filled	3.08415095512
kingdom	3.08415095512
los	3.08415095512
raising	3.08415095512
july	3.08415095512
blowin	3.08415095512
beauty	3.06471009972
sinking	3.0553550707
disturb	3.0553550707
crave	3.0553550707
stairs	3.0553550707
hills	3.0553550707
judge	3.0553550707
tiger	3.0553550707
gates	3.0553550707
castle	3.0553550707
lion	3.0553550707
planes	3.0553550707
fighter	3.0553550707
crash	3.0553550707
sparks	3.0553550707
smilin	3.0553550707
pumped	3.0553550707
loud	3.04452243772
ooh	3.04452243772
bite	3.03371249357
signs	3.03371249357
chasing	3.03371249357
scars	3.03371249357
ground	2.99573227355
money	2.99573227355
giving	2.99337176672
walls	2.98091953028
thing	2.94443897917
people	2.94443897917
hear	2.94443897917
inside	2.94443897917
louder	2.93993091474
animals	2.93993091474
hit	2.93297013965
crazy	2.91710977071
hide	2.8903717579
lights	2.8903717579
watch	2.8903717579
remember	2.8903717579
dirty	2.8903717579
real	2.8903717579
sky	2.8903717579
passport	2.86676055712
rights	2.86676055712
greed	2.86676055712
keyboard	2.86676055712
mink	2.86676055712
labels	2.86676055712
motto	2.86676055712
keeper	2.86676055712
islands	2.86676055712
stays	2.86676055712
sa	2.86676055712
sheep	2.86676055712
apologies	2.86676055712
sights	2.86676055712
kills	2.86676055712
rust	2.86676055712
public	2.86676055712
tags	2.86676055712
milky	2.86676055712
shark	2.86676055712
stains	2.86676055712
slicker	2.86676055712
steam	2.86676055712
liberate	2.86676055712
nope	2.86676055712
uuh	2.86676055712
league	2.86676055712
georgia	2.86676055712
arenas	2.86676055712
bind	2.86676055712
maker	2.86676055712
wildest	2.86676055712
comfortable	2.86676055712
heeeeey	2.86676055712
sho	2.86676055712
jom	2.86676055712
granddad	2.86676055712
scares	2.86676055712
rubble	2.86676055712
save	2.8351937444
change	2.8351937444
side	2.83321334406
feeling	2.83321334406
fight	2.83321334406
till	2.83321334406
sun	2.83321334406
lost	2.83321334406
made	2.83321334406
bridge	2.82112623698
ball	2.82112623698
speak	2.81639210785
blood	2.81639210785
mind	2.77258872224
bad	2.77258872224
head	2.77258872224
high	2.77258872224
walk	2.77258872224
fear	2.74671769577
emotion	2.72501526372
ears	2.72501526372
flowers	2.72501526372
hook	2.72501526372
frozen	2.72501526372
putting	2.72501526372
told	2.7080502011
knew	2.7080502011
broken	2.7080502011
forget	2.7080502011
beautiful	2.7080502011
long	2.7080502011
makes	2.7080502011
hand	2.7080502011
stay	2.7080502011
snow	2.70703611774
art	2.70703611774
carry	2.68752107256
block	2.68752107256
burnt	2.65654303586
chevy	2.65654303586
wanting	2.65654303586
motherfucker	2.65654303586
cheer	2.65654303586
showing	2.65654303586
turning	2.65053875523
past	2.65053875523
river	2.65053875523
lift	2.63996754238
kid	2.63996754238
1	2.63996754238
swing	2.63996754238
2	2.63996754238
simple	2.63996754238
bitch	2.63996754238
places	2.63996754238
dance	2.63905732962
leave	2.63905732962
turn	2.63905732962
open	2.63905732962
kiss	2.63905732962
wrong	2.56494935746
call	2.56494935746
falling	2.56494935746
man	2.56494935746
learn	2.56494935746
hell	2.56494935746
kind	2.56494935746
bit	2.56494935746
move	2.56494935746
friends	2.56494935746
hearts	2.54518664574
round	2.54518664574
dreaming	2.54518664574
lie	2.54518664574
damn	2.54518664574
lead	2.54518664574
swear	2.54518664574
summer	2.54345551204
written	2.54345551204
break	2.48490664979
days	2.48490664979
mine	2.48490664979
left	2.48490664979
boy	2.48490664979
half	2.48490664979
roll	2.48490664979
low	2.48490664979
coming	2.48490664979
understand	2.48490664979
young	2.48490664979
bed	2.48490664979
hope	2.48490664979
con	2.43158003797
threw	2.43158003797
voices	2.43158003797
complete	2.43158003797
darkness	2.43158003797
paper	2.43158003797
spent	2.43158003797
bee	2.43158003797
clown	2.43158003797
brother	2.43083517747
dare	2.43083517747
worst	2.43083517747
missing	2.43083517747
letting	2.43083517747
dust	2.43083517747
count	2.43083517747
space	2.42872529182
99	2.42131160672
hooked	2.42131160672
stamps	2.42131160672
cos	2.42131160672
suppose	2.42131160672
sleeps	2.42131160672
board	2.42131160672
prison	2.42131160672
papers	2.42131160672
talked	2.42131160672
teenage	2.42131160672
believer	2.42131160672
typical	2.42131160672
speech	2.42131160672
passing	2.42131160672
crush	2.42131160672
bout	2.42131160672
outer	2.42131160672
cage	2.42131160672
endless	2.42131160672
hottest	2.42131160672
throne	2.42131160672
justin	2.42131160672
vein	2.42131160672
end	2.3978952728
losing	2.3978952728
die	2.3978952728
fast	2.3978952728
pull	2.3978952728
tight	2.3978952728
town	2.3978952728
found	2.3978952728
dancing	2.3978952728
fine	2.3978952728
start	2.3978952728
shining	2.38012745025
club	2.38012745025
bringing	2.34720038896
di	2.34720038896
pocket	2.34720038896
human	2.34720038896
bathroom	2.34720038896
heat	2.34720038896
language	2.34720038896
shop	2.34720038896
3	2.34720038896
ticket	2.34720038896
glowing	2.34720038896
sold	2.34720038896
nasty	2.34720038896
system	2.34720038896
sleep	2.30258509299
drive	2.30258509299
burning	2.30258509299
line	2.30258509299
fell	2.29853257479
rock	2.29853257479
alive	2.29853257479
limited	2.28917754577
conjuring	2.28917754577
yonder	2.28917754577
burnthe	2.28917754577
pigment	2.28917754577
companies	2.28917754577
dookie	2.28917754577
assembled	2.28917754577
tips	2.28917754577
menage	2.28917754577
fronts	2.28917754577
humility	2.28917754577
shadowboxing	2.28917754577
straw	2.28917754577
conservatives	2.28917754577
choosey	2.28917754577
moonwalking	2.28917754577
youask	2.28917754577
theories	2.28917754577
hitomi	2.28917754577
writers	2.28917754577
woaah	2.28917754577
parallel	2.28917754577
pharcyde	2.28917754577
tricked	2.28917754577
dulgeoya	2.28917754577
homeyou	2.28917754577
rocky	2.28917754577
filling	2.28917754577
telescope	2.28917754577
weightless	2.28917754577
neomu	2.28917754577
goare	2.28917754577
stunting	2.28917754577
putty	2.28917754577
acrobat	2.28917754577
cirus	2.28917754577
konna	2.28917754577
synonymous	2.28917754577
hustlin	2.28917754577
teardrops	2.28917754577
pondering	2.28917754577
coward	2.28917754577
gator	2.28917754577
mammy	2.28917754577
regular	2.28917754577
takaku	2.28917754577
lewis	2.28917754577
revolver	2.28917754577
ocd	2.28917754577
mens	2.28917754577
rica	2.28917754577
namankeum	2.28917754577
ben	2.28917754577
shula	2.28917754577
prada	2.28917754577
strummed	2.28917754577
gyeote	2.28917754577
buzzing	2.28917754577
fuan	2.28917754577
tallest	2.28917754577
koto	2.28917754577
lesser	2.28917754577
spawn	2.28917754577
iv	2.28917754577
dada	2.28917754577
wayputting	2.28917754577
gipi	2.28917754577
viced	2.28917754577
vices	2.28917754577
egao	2.28917754577
ducts	2.28917754577
naegen	2.28917754577
cosby	2.28917754577
squander	2.28917754577
deaf	2.28917754577
clawed	2.28917754577
biggity	2.28917754577
eeh	2.28917754577
oerowojil	2.28917754577
lashes	2.28917754577
daedaphae	2.28917754577
diggity	2.28917754577
sarameun	2.28917754577
ford	2.28917754577
manonce	2.28917754577
ami	2.28917754577
undefeated	2.28917754577
shiritai	2.28917754577
laknow	2.28917754577
aunty	2.28917754577
shrink	2.28917754577
lifehey	2.28917754577
neighbors	2.28917754577
comments	2.28917754577
gidaryeotjiman	2.28917754577
machi	2.28917754577
radioactivegive	2.28917754577
deo	2.28917754577
cuckoo	2.28917754577
isseowanneunji	2.28917754577
soundhigh	2.28917754577
marker	2.28917754577
hotels	2.28917754577
bended	2.28917754577
sideca	2.28917754577
maiagaru	2.28917754577
ignorant	2.28917754577
rumpelstiltskin	2.28917754577
velour	2.28917754577
deceased	2.28917754577
