words	tf-idf
jude	12.7154400752
submarine	10.8847817026
paperback	9.72426027983
bop	9.42246609994
wooly	9.35692815535
excitations	9.35692815535
monday	9.35097017793
oom	9.15671018307
lou	8.94356622524
bully	8.94356622524
writer	8.50180062868
aquarius	8.47096351224
eloise	7.9192531825
grapevine	7.9192531825
speedy	7.60448320347
gonzales	7.60448320347
satisfaction	7.60448320347
crimson	7.60448320347
vibrations	7.39309431399
tonk	7.25652113507
sleepy	7.25652113507
judy	7.25652113507
san	7.25652113507
honky	7.25652113507
sender	7.25652113507
hela	7.25652113507
dock	7.25652113507
francisco	7.25652113507
tripper	6.8675326373
helloa	6.8675326373
boots	6.8675326373
heba	6.8675326373
believer	6.7100446549
yay	6.69307609683
washed	6.48946343408
massachusetts	6.42653385058
ahhhhh	6.42653385058
trap	6.42653385058
crucify	6.42653385058
clover	6.25715883489
strawberry	6.25715883489
dummy	6.00845283826
doo	6.00845283826
marina	6.00845283826
wah	6.00845283826
runaway	5.9174381133
pickin	5.9174381133
disguise	5.81641058353
sock	5.73352111423
yellow	5.64191267145
mary	5.53879261133
dum	5.53879261133
la	5.47227067367
lonesome	5.42617359555
cha	5.42617359555
unknown	5.42617359555
mashed	5.3153056577
potato	5.3153056577
whirlpool	5.3153056577
suspicious	5.3153056577
gladly	5.3153056577
love	5.26785815906
twist	5.23612260716
homecoming	5.07773171714
delilah	5.07773171714
puppet	5.07773171714
penny	5.07483492461
yeah	5.04985600725
na	4.96284463026
sunshine	4.89382479265
ticket	4.89382479265
gas	4.89382479265
baby	4.89034912822
orleans	4.67548508897
cathy	4.67548508897
buys	4.67548508897
rollin	4.67002614268
sittin	4.58303260605
tavern	4.57835509154
heals	4.57835509154
banker	4.57835509154
wastin	4.57835509154
loretta	4.57835509154
twisty	4.57835509154
whiter	4.57835509154
log	4.57835509154
suburban	4.57835509154
hatty	4.57835509154
ruin	4.57835509154
manage	4.57835509154
twistin	4.57835509154
haer	4.57835509154
oughta	4.57835509154
hungered	4.57835509154
ca	4.54329478227
dizzy	4.46831247697
ma	4.46831247697
painted	4.41242247306
daydream	4.28873304818
day	4.27666611902
back	4.26267987704
bay	4.2105210934
wanting	4.2105210934
tambourine	4.19972830641
stomp	4.19972830641
louie	4.19972830641
misery	4.19972830641
useless	4.19972830641
madly	4.19972830641
belonged	4.19972830641
hey	4.18965474203
good	4.15888308336
downtown	4.13042730752
loves	4.13042730752
sugar	4.09139163427
fields	4.05998962042
flash	4.05998962042
time	3.98898404656
woman	3.98511977004
charm	3.9848145538
christ	3.94898914207
gentle	3.94898914207
letter	3.8986154582
night	3.89182029811
girl	3.89182029811
huh	3.84374955471
make	3.82864139649
home	3.82864139649
dance	3.78418963392
feel	3.76120011569
jean	3.72892958369
cheer	3.72892958369
rosita	3.62826056754
adobe	3.62826056754
cathedral	3.62826056754
elation	3.62826056754
matty	3.62826056754
il	3.62826056754
jangle	3.62826056754
voglio	3.62826056754
jupiter	3.62826056754
stings	3.62826056754
ee	3.62826056754
seventh	3.62826056754
exchanging	3.62826056754
disappointment	3.62826056754
barber	3.62826056754
ghostly	3.62826056754
naaa	3.62826056754
mora	3.62826056754
mire	3.62826056754
aligns	3.62826056754
selling	3.62826056754
sposar	3.62826056754
rocco	3.62826056754
learns	3.62826056754
pyre	3.62826056754
dawning	3.62826056754
remains	3.62826056754
sis	3.62826056754
sack	3.62826056754
jingle	3.62826056754
yearning	3.62826056754
spoil	3.62826056754
jojo	3.62826056754
memphis	3.62826056754
piu	3.62826056754
aeroplane	3.6174490637
tho	3.6174490637
neon	3.6174490637
incomprehensible	3.6174490637
gon	3.58351893846
heart	3.58351893846
man	3.58351893846
guide	3.54715738926
madonna	3.54715738926
hung	3.54715738926
troubles	3.54715738926
trace	3.54715738926
hold	3.52636052462
happy	3.52636052462
jesus	3.52080058343
goodbye	3.5128952207
things	3.49650756147
darlin	3.4788045594
honey	3.4657359028
lovin	3.46542663128
mi	3.43353206463
tells	3.43353206463
laughed	3.43353206463
sins	3.43353206463
wo	3.40119738166
ooh	3.40119738166
return	3.37121058979
life	3.36729582999
gim	3.31233414011
live	3.295836866
lonely	3.295836866
taught	3.2947122825
string	3.2947122825
feeling	3.25809653802
hand	3.25809653802
people	3.25809653802
wan	3.25809653802
eyes	3.25809653802
care	3.21887582487
ai	3.17805383035
mister	3.14167356429
lane	3.14167356429
respect	3.14167356429
summer	3.13730126603
sea	3.13730126603
tonight	3.13549421593
buy	3.13172216295
jack	3.12385950195
wrote	3.12385950195
give	3.09104245336
bit	3.09104245336
walk	3.09104245336
prayer	3.08415095512
younger	3.08415095512
age	3.08415095512
ah	3.06471009972
darling	3.06471009972
reach	3.06471009972
delight	3.0553550707
tide	3.0553550707
messin	3.0553550707
askin	3.0553550707
warning	3.0553550707
rejoice	3.0553550707
hard	3.04452243772
glad	3.03939754431
flowers	3.03371249357
ghetto	3.03371249357
speed	3.03371249357
money	2.99573227355
yesterday	2.99337176672
stood	2.98091953028
pour	2.98091953028
longer	2.98091953028
arms	2.94443897917
days	2.94443897917
mind	2.94443897917
mine	2.94443897917
bad	2.94443897917
leave	2.94443897917
find	2.94443897917
pretty	2.94443897917
fire	2.94443897917
evening	2.93993091474
paper	2.93993091474
candy	2.93993091474
heard	2.8903717579
long	2.8903717579
run	2.8903717579
miller	2.86676055712
sailed	2.86676055712
glance	2.86676055712
fussing	2.86676055712
haunted	2.86676055712
roundabout	2.86676055712
flashed	2.86676055712
steer	2.86676055712
sweetness	2.86676055712
